Collection,Weapon,Skin,Quality,Steam Market API URL
"","M4A1-S","Wash me plz","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A1-S%20%7C%20Wash%20me%20plz%20(Factory%20New)"
"","Desert Eagle","Tilted","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Desert%20Eagle%20%7C%20Tilted%20(Factory%20New)"
"","Nova","Wurst Hölle","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Nova%20%7C%20Wurst%20H%C3%B6lle%20(Factory%20New)"
"","Galil AR","Metallic Squeezer","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Galil%20AR%20%7C%20Metallic%20Squeezer%20(Factory%20New)"
"","Glock-18","Teal Graf","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Glock-18%20%7C%20Teal%20Graf%20(Factory%20New)"
"","MAC-10","Pipsqueak","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Pipsqueak%20(Factory%20New)"
"","Dual Berettas","Sweet Little Angels","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Dual%20Berettas%20%7C%20Sweet%20Little%20Angels%20(Factory%20New)"
"","XM1014","Monster Melt","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=XM1014%20%7C%20Monster%20Melt%20(Factory%20New)"
"","AUG","Eye of Zapems","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Eye%20of%20Zapems%20(Factory%20New)"
"","Zeus x27","Dragon Snore","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Zeus%20x27%20%7C%20Dragon%20Snore%20(Factory%20New)"
"","AWP","Crakow!","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AWP%20%7C%20Crakow!%20(Factory%20New)"
"","AK-47","B the Monster","Covert","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20B%20the%20Monster%20(Factory%20New)"
"Safehouse Collection","Dual Berettas","Contractor","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Dual%20Berettas%20%7C%20Contractor%20(Factory%20New)"
"Safehouse Collection","MP7","Army Recon","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP7%20%7C%20Army%20Recon%20(Factory%20New)"
"Safehouse Collection","Tec-9","Army Mesh","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Tec-9%20%7C%20Army%20Mesh%20(Factory%20New)"
"Safehouse Collection","SSG 08","Blue Spruce","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SSG%2008%20%7C%20Blue%20Spruce%20(Factory%20New)"
"Safehouse Collection","SCAR-20","Contractor","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SCAR-20%20%7C%20Contractor%20(Factory%20New)"
"Safehouse Collection","MP9","Orange Peel","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP9%20%7C%20Orange%20Peel%20(Factory%20New)"
"Safehouse Collection","AUG","Condemned","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Condemned%20(Factory%20New)"
"Safehouse Collection","USP-S","Forest Leaves","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=USP-S%20%7C%20Forest%20Leaves%20(Factory%20New)"
"Safehouse Collection","Galil AR","VariCamo","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Galil%20AR%20%7C%20VariCamo%20(Factory%20New)"
"Safehouse Collection","M249","Gator Mesh","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M249%20%7C%20Gator%20Mesh%20(Factory%20New)"
"Safehouse Collection","G3SG1","VariCamo","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=G3SG1%20%7C%20VariCamo%20(Factory%20New)"
"Safehouse Collection","FAMAS","Teardown","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=FAMAS%20%7C%20Teardown%20(Factory%20New)"
"Safehouse Collection","Five-SeveN","Silver Quartz","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Five-SeveN%20%7C%20Silver%20Quartz%20(Factory%20New)"
"Safehouse Collection","SSG 08","Acid Fade","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SSG%2008%20%7C%20Acid%20Fade%20(Factory%20New)"
"Safehouse Collection","M4A1-S","Nitro","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A1-S%20%7C%20Nitro%20(Factory%20New)"
"St. Marc Collection","M249","Jungle","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M249%20%7C%20Jungle%20(Factory%20New)"
"St. Marc Collection","MP5-SD","Bamboo Garden","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP5-SD%20%7C%20Bamboo%20Garden%20(Factory%20New)"
"St. Marc Collection","MAC-10","Surfwood","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Surfwood%20(Factory%20New)"
"St. Marc Collection","PP-Bizon","Seabird","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=PP-Bizon%20%7C%20Seabird%20(Factory%20New)"
"St. Marc Collection","Sawed-Off","Jungle Thicket","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Sawed-Off%20%7C%20Jungle%20Thicket%20(Factory%20New)"
"St. Marc Collection","M4A4","Dark Blossom","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A4%20%7C%20Dark%20Blossom%20(Factory%20New)"
"St. Marc Collection","P90","Sunset Lily","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20Sunset%20Lily%20(Factory%20New)"
"St. Marc Collection","Tec-9","Rust Leaf","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Tec-9%20%7C%20Rust%20Leaf%20(Factory%20New)"
"St. Marc Collection","XM1014","Banana Leaf","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=XM1014%20%7C%20Banana%20Leaf%20(Factory%20New)"
"St. Marc Collection","MP7","Teal Blossom","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP7%20%7C%20Teal%20Blossom%20(Factory%20New)"
"St. Marc Collection","Five-SeveN","Crimson Blossom","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Five-SeveN%20%7C%20Crimson%20Blossom%20(Factory%20New)"
"St. Marc Collection","FAMAS","Sundown","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=FAMAS%20%7C%20Sundown%20(Factory%20New)"
"St. Marc Collection","UMP-45","Day Lily","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=UMP-45%20%7C%20Day%20Lily%20(Factory%20New)"
"St. Marc Collection","AUG","Midnight Lily","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Midnight%20Lily%20(Factory%20New)"
"St. Marc Collection","SSG 08","Sea Calico","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SSG%2008%20%7C%20Sea%20Calico%20(Factory%20New)"
"St. Marc Collection","Glock-18","Synth Leaf","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Glock-18%20%7C%20Synth%20Leaf%20(Factory%20New)"
"St. Marc Collection","MP9","Wild Lily","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP9%20%7C%20Wild%20Lily%20(Factory%20New)"
"St. Marc Collection","AK-47","Wild Lotus","Covert","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20Wild%20Lotus%20(Factory%20New)"
"Train Collection","PP-Bizon","Urban Dashed","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=PP-Bizon%20%7C%20Urban%20Dashed%20(Factory%20New)"
"Train Collection","Nova","Polar Mesh","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Nova%20%7C%20Polar%20Mesh%20(Factory%20New)"
"Train Collection","Five-SeveN","Forest Night","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Five-SeveN%20%7C%20Forest%20Night%20(Factory%20New)"
"Train Collection","G3SG1","Polar Camo","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=G3SG1%20%7C%20Polar%20Camo%20(Factory%20New)"
"Train Collection","Dual Berettas","Colony","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Dual%20Berettas%20%7C%20Colony%20(Factory%20New)"
"Train Collection","UMP-45","Urban DDPAT","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=UMP-45%20%7C%20Urban%20DDPAT%20(Factory%20New)"
"Train Collection","M4A4","Urban DDPAT","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A4%20%7C%20Urban%20DDPAT%20(Factory%20New)"
"Train Collection","MAC-10","Candy Apple","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Candy%20Apple%20(Factory%20New)"
"Train Collection","P90","Ash Wood","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20Ash%20Wood%20(Factory%20New)"
"Train Collection","SCAR-20","Carbon Fiber","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SCAR-20%20%7C%20Carbon%20Fiber%20(Factory%20New)"
"Train Collection","MAG-7","Metallic DDPAT","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAG-7%20%7C%20Metallic%20DDPAT%20(Factory%20New)"
"Train Collection","P250","Metallic DDPAT","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P250%20%7C%20Metallic%20DDPAT%20(Factory%20New)"
"Train Collection","Sawed-Off","Amber Fade","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Sawed-Off%20%7C%20Amber%20Fade%20(Factory%20New)"
"Train Collection","Desert Eagle","Urban Rubble","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Desert%20Eagle%20%7C%20Urban%20Rubble%20(Factory%20New)"
"Train Collection","Tec-9","Red Quartz","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Tec-9%20%7C%20Red%20Quartz%20(Factory%20New)"
"Vertigo Collection","XM1014","Urban Perforated","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=XM1014%20%7C%20Urban%20Perforated%20(Factory%20New)"
"Vertigo Collection","MAC-10","Urban DDPAT","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Urban%20DDPAT%20(Factory%20New)"
"Vertigo Collection","PP-Bizon","Carbon Fiber","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=PP-Bizon%20%7C%20Carbon%20Fiber%20(Factory%20New)"
"Vertigo Collection","P90","Glacier Mesh","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20Glacier%20Mesh%20(Factory%20New)"
"Vertigo Collection","AK-47","Black Laminate","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20Black%20Laminate%20(Factory%20New)"
"Vertigo Collection","Dual Berettas","Demolition","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Dual%20Berettas%20%7C%20Demolition%20(Factory%20New)"
"2018 Inferno Collection","MAG-7","Rust Coat","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAG-7%20%7C%20Rust%20Coat%20(Factory%20New)"
"2018 Inferno Collection","AUG","Sweeper","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Sweeper%20(Factory%20New)"
"2018 Inferno Collection","UMP-45","Mudder","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=UMP-45%20%7C%20Mudder%20(Factory%20New)"
"2018 Inferno Collection","MP9","Slide","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP9%20%7C%20Slide%20(Factory%20New)"
"2018 Inferno Collection","MP5-SD","Dirt Drop","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP5-SD%20%7C%20Dirt%20Drop%20(Factory%20New)"
"2018 Inferno Collection","PP-Bizon","Candy Apple","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=PP-Bizon%20%7C%20Candy%20Apple%20(Factory%20New)"
"2018 Inferno Collection","MAC-10","Calf Skin","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Calf%20Skin%20(Factory%20New)"
"2018 Inferno Collection","R8 Revolver","Nitro","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=R8%20Revolver%20%7C%20Nitro%20(Factory%20New)"
"2018 Inferno Collection","Glock-18","High Beam","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Glock-18%20%7C%20High%20Beam%20(Factory%20New)"
"2018 Inferno Collection","Sawed-Off","Brake Light","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Sawed-Off%20%7C%20Brake%20Light%20(Factory%20New)"
"2018 Inferno Collection","SSG 08","Hand Brake","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SSG%2008%20%7C%20Hand%20Brake%20(Factory%20New)"
"2018 Inferno Collection","USP-S","Check Engine","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=USP-S%20%7C%20Check%20Engine%20(Factory%20New)"
"2018 Inferno Collection","M4A4","Converter","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A4%20%7C%20Converter%20(Factory%20New)"
"2018 Inferno Collection","P250","Vino Primo","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P250%20%7C%20Vino%20Primo%20(Factory%20New)"
"2018 Inferno Collection","MP7","Fade","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP7%20%7C%20Fade%20(Factory%20New)"
"2018 Inferno Collection","AK-47","Safety Net","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20Safety%20Net%20(Factory%20New)"
"2018 Inferno Collection","Dual Berettas","Twin Turbo","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Dual%20Berettas%20%7C%20Twin%20Turbo%20(Factory%20New)"
"2018 Inferno Collection","SG 553","Integrale","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SG%20553%20%7C%20Integrale%20(Factory%20New)"
"2018 Nuke Collection","Nova","Mandrel","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Nova%20%7C%20Mandrel%20(Factory%20New)"
"2018 Nuke Collection","PP-Bizon","Facility Sketch","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=PP-Bizon%20%7C%20Facility%20Sketch%20(Factory%20New)"
"2018 Nuke Collection","UMP-45","Facility Dark","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=UMP-45%20%7C%20Facility%20Dark%20(Factory%20New)"
"2018 Nuke Collection","Five-SeveN","Coolant","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Five-SeveN%20%7C%20Coolant%20(Factory%20New)"
"2018 Nuke Collection","P250","Facility Draft","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P250%20%7C%20Facility%20Draft%20(Factory%20New)"
"2018 Nuke Collection","MP7","Motherboard","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP7%20%7C%20Motherboard%20(Factory%20New)"
"2018 Nuke Collection","Negev","Bulkhead","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Negev%20%7C%20Bulkhead%20(Factory%20New)"
"2018 Nuke Collection","Galil AR","Cold Fusion","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Galil%20AR%20%7C%20Cold%20Fusion%20(Factory%20New)"
"2018 Nuke Collection","M4A4","Mainframe","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A4%20%7C%20Mainframe%20(Factory%20New)"
"2018 Nuke Collection","P250","Exchanger","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P250%20%7C%20Exchanger%20(Factory%20New)"
"2018 Nuke Collection","P90","Facility Negative","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20Facility%20Negative%20(Factory%20New)"
"2018 Nuke Collection","MP5-SD","Co-Processor","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP5-SD%20%7C%20Co-Processor%20(Factory%20New)"
"2018 Nuke Collection","AWP","Acheron","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AWP%20%7C%20Acheron%20(Factory%20New)"
"2018 Nuke Collection","MAG-7","Core Breach","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAG-7%20%7C%20Core%20Breach%20(Factory%20New)"
"2018 Nuke Collection","AUG","Random Access","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Random%20Access%20(Factory%20New)"
"2018 Nuke Collection","Glock-18","Nuclear Garden","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Glock-18%20%7C%20Nuclear%20Garden%20(Factory%20New)"
"2018 Nuke Collection","Tec-9","Remote Control","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Tec-9%20%7C%20Remote%20Control%20(Factory%20New)"
"2018 Nuke Collection","M4A1-S","Control Panel","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A1-S%20%7C%20Control%20Panel%20(Factory%20New)"
"2021 Dust II Collection","R8 Revolver","Desert Brush","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=R8%20Revolver%20%7C%20Desert%20Brush%20(Factory%20New)"
"2021 Dust II Collection","P90","Desert DDPAT","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20Desert%20DDPAT%20(Factory%20New)"
"2021 Dust II Collection","SG 553","Bleached","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SG%20553%20%7C%20Bleached%20(Factory%20New)"
"2021 Dust II Collection","MP7","Prey","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP7%20%7C%20Prey%20(Factory%20New)"
"2021 Dust II Collection","Sawed-Off","Parched","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Sawed-Off%20%7C%20Parched%20(Factory%20New)"
"2021 Dust II Collection","AUG","Spalted Wood","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Spalted%20Wood%20(Factory%20New)"
"2021 Dust II Collection","MP9","Old Roots","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP9%20%7C%20Old%20Roots%20(Factory%20New)"
"2021 Dust II Collection","Five-SeveN","Withered Vine","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Five-SeveN%20%7C%20Withered%20Vine%20(Factory%20New)"
"2021 Dust II Collection","M249","Midnight Palm","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M249%20%7C%20Midnight%20Palm%20(Factory%20New)"
"2021 Dust II Collection","P250","Black &amp; Tan","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P250%20%7C%20Black%20%26amp%3B%20Tan%20(Factory%20New)"
"2021 Dust II Collection","Nova","Quick Sand","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Nova%20%7C%20Quick%20Sand%20(Factory%20New)"
"2021 Dust II Collection","G3SG1","New Roots","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=G3SG1%20%7C%20New%20Roots%20(Factory%20New)"
"2021 Dust II Collection","Galil AR","Amber Fade","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Galil%20AR%20%7C%20Amber%20Fade%20(Factory%20New)"
"2021 Dust II Collection","USP-S","Orange Anolis","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=USP-S%20%7C%20Orange%20Anolis%20(Factory%20New)"
"2021 Dust II Collection","M4A4","Red DDPAT","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A4%20%7C%20Red%20DDPAT%20(Factory%20New)"
"2021 Dust II Collection","MAC-10","Case Hardened","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Case%20Hardened%20(Factory%20New)"
"2021 Dust II Collection","UMP-45","Fade","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=UMP-45%20%7C%20Fade%20(Factory%20New)"
"2021 Dust II Collection","SSG 08","Death Strike","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SSG%2008%20%7C%20Death%20Strike%20(Factory%20New)"
"2021 Dust II Collection","AK-47","Gold Arabesque","Covert","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20Gold%20Arabesque%20(Factory%20New)"
"2021 Mirage Collection","P250","Drought","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P250%20%7C%20Drought%20(Factory%20New)"
"2021 Mirage Collection","PP-Bizon","Anolis","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=PP-Bizon%20%7C%20Anolis%20(Factory%20New)"
"2021 Mirage Collection","MAG-7","Navy Sheen","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAG-7%20%7C%20Navy%20Sheen%20(Factory%20New)"
"2021 Mirage Collection","MAC-10","Sienna Damask","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Sienna%20Damask%20(Factory%20New)"
"2021 Mirage Collection","SSG 08","Prey","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SSG%2008%20%7C%20Prey%20(Factory%20New)"
"2021 Mirage Collection","Dual Berettas","Drift Wood","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Dual%20Berettas%20%7C%20Drift%20Wood%20(Factory%20New)"
"2021 Mirage Collection","FAMAS","CaliCamo","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=FAMAS%20%7C%20CaliCamo%20(Factory%20New)"
"2021 Mirage Collection","CZ75-Auto","Midnight Palm","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=CZ75-Auto%20%7C%20Midnight%20Palm%20(Factory%20New)"
"2021 Mirage Collection","P90","Verdant Growth","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20Verdant%20Growth%20(Factory%20New)"
"2021 Mirage Collection","USP-S","Purple DDPAT","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=USP-S%20%7C%20Purple%20DDPAT%20(Factory%20New)"
"2021 Mirage Collection","MP9","Music Box","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP9%20%7C%20Music%20Box%20(Factory%20New)"
"2021 Mirage Collection","M249","Humidor","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M249%20%7C%20Humidor%20(Factory%20New)"
"2021 Mirage Collection","SG 553","Desert Blossom","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SG%20553%20%7C%20Desert%20Blossom%20(Factory%20New)"
"2021 Mirage Collection","XM1014","Elegant Vines","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=XM1014%20%7C%20Elegant%20Vines%20(Factory%20New)"
"2021 Mirage Collection","Glock-18","Pink DDPAT","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Glock-18%20%7C%20Pink%20DDPAT%20(Factory%20New)"
"2021 Mirage Collection","AUG","Sand Storm","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Sand%20Storm%20(Factory%20New)"
"2021 Mirage Collection","MP5-SD","Oxide Oasis","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP5-SD%20%7C%20Oxide%20Oasis%20(Factory%20New)"
"2021 Mirage Collection","Desert Eagle","Fennec Fox","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Desert%20Eagle%20%7C%20Fennec%20Fox%20(Factory%20New)"
"2021 Mirage Collection","AWP","Desert Hydra","Covert","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AWP%20%7C%20Desert%20Hydra%20(Factory%20New)"
"2021 Train Collection","Desert Eagle","Sputnik","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Desert%20Eagle%20%7C%20Sputnik%20(Factory%20New)"
"2021 Train Collection","M4A1-S","Fizzy POP","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A1-S%20%7C%20Fizzy%20POP%20(Factory%20New)"
"2021 Train Collection","SSG 08","Spring Twilly","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SSG%2008%20%7C%20Spring%20Twilly%20(Factory%20New)"
"2021 Train Collection","AUG","Amber Fade","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Amber%20Fade%20(Factory%20New)"
"2021 Train Collection","UMP-45","Full Stop","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=UMP-45%20%7C%20Full%20Stop%20(Factory%20New)"
"2021 Train Collection","Tec-9","Safety Net","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Tec-9%20%7C%20Safety%20Net%20(Factory%20New)"
"2021 Train Collection","R8 Revolver","Blaze","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=R8%20Revolver%20%7C%20Blaze%20(Factory%20New)"
"2021 Train Collection","CZ75-Auto","Syndicate","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=CZ75-Auto%20%7C%20Syndicate%20(Factory%20New)"
"2021 Train Collection","AWP","POP AWP","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AWP%20%7C%20POP%20AWP%20(Factory%20New)"
"2021 Train Collection","P2000","Space Race","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P2000%20%7C%20Space%20Race%20(Factory%20New)"
